plant_name,plant_key,generation_type,generation_subtype,region,energy_type,renewable_factor,25,total,mwh,hour,timestamp
PMGD PFV AHE BUENAS YERBAS,PMGD PFV AHE BUENAS YERBAS,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,93.34740576062629,0.0,3,2024-11-22 02:00:00
BESS PFV COYA,BESS COYA (retiro),Bess,(en blanco),Región de Antofagasta,ernc,1.0,0.0,635.6464596433347,0.0,3,2024-11-22 02:00:00
PMGD PFV CARANCA SOLAR,PMGD PFV CARANCA SOLAR,Solar,(en blanco),Región de Atacama,ernc,1.0,0.0,0.0,0.0,3,2024-11-22 02:00:00
HE CIPRESES,CIPRESES,Hidráulica,Embalse,Región del Maule,convencional,0.0,0.0,1542.3048981608745,68.19824440694752,3,2024-11-22 02:00:00
TER NEWEN,Newen Diésel,Térmica,Diésel,Región del Bío-Bío,convencional,0.0,0.0,0.0,0.0,3,2024-11-22 02:00:00
PMGD HP LAS FLORES,PMGD HP LAS FLORES,Hidráulica,Pasada,Región de los Ríos,ernc,1.0,0.0,35.80034651651956,1.7293594435449136,3,2024-11-22 02:00:00
PMGD HP CENTRAL EL ATAJO,HP EL ATAJO,Hidráulica,Pasada,Región del Bío-Bío,ernc,1.0,0.0,22.285240360656605,0.9480379453359625,3,2024-11-22 02:00:00
PFV DON HUMBERTO [EN_REVISION],PFV DON HUMBERTO,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,120.54760102918189,0.0,3,2024-11-22 02:00:00
PMGD HP ROBLERIA,ROBLERIA,Hidráulica,Pasada,Región del Maule,ernc,1.0,0.0,48.72244517944113,2.025436306076409,3,2024-11-22 02:00:00
PFV ANDES SOLAR IV,PFV Andes Solar IV,Solar,(en blanco),Región de Antofagasta,ernc,1.0,0.0,710.6756210014669,0.0,3,2024-11-22 02:00:00
PMGD PFV AXEL SOLAR,PMGD PFV Axel Solar,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,18.85234545381243,0.0,3,2024-11-22 02:00:00
PE KALLPA [EN_REVISION],PE KALLPA,Eólica,(en blanco),Región de Antofagasta,ernc,1.0,0.0,1494.7182123628345,49.35767894065025,3,2024-11-22 02:00:00
HP EL RINCON,EL RINCON,Hidráulica,Pasada,Región Metropolitana,ernc,1.0,0.0,0.0,0.0,3,2024-11-22 02:00:00
PMGD PFV PARQUE SOLAR EL PALQUI,PMGD PFV El Palqui,Solar,(en blanco),Región de Coquimbo,ernc,1.0,0.0,13.847002254108112,0.0,3,2024-11-22 02:00:00
PFV DIEGO DE ALMAGRO,PFV Diego de Almagro,Solar,(en blanco),Región de Atacama,ernc,1.0,0.0,123.18908232663411,0.0,3,2024-11-22 02:00:00
PE LOS CERRILLOS,PE Los Cerrillos,Eólica,(en blanco),Región de O'Higgins,ernc,1.0,0.0,202.03329681119195,2.9716664596337172,3,2024-11-22 02:00:00
PMGD PFV LA BLANQUINA,LA BLANQUINA,Solar,(en blanco),Región de O'Higgins,ernc,1.0,0.0,88.55394547733108,0.0,3,2024-11-22 02:00:00
PMGD PFV LA PALMA SOLAR,PMGD PFV La Palma Solar,Solar,(en blanco),Región de Ñuble,ernc,1.0,0.0,101.95001382172899,0.0,3,2024-11-22 02:00:00
PMGD PFV CHOLGUAN,PMGD PFV CHOLGUAN,Solar,(en blanco),Región de Ñuble,ernc,1.0,0.0,0.0,0.0,3,2024-11-22 02:00:00
HP CURILLINQUE,CURILLINQUE,Hidráulica,Pasada,Región del Maule,convencional,0.0,0.0,1418.695580173282,84.62745762822215,3,2024-11-22 02:00:00
PMGD PFV SAN EDUARDO,PMGD PFV San Eduardo,Solar,(en blanco),Región de Ñuble,ernc,1.0,0.0,2.331881019020772,0.0,3,2024-11-22 02:00:00
PMGD PFV  COCINILLAS,PFV COCINILLAS,Solar,(en blanco),Región de Coquimbo,ernc,1.0,0.0,20.743272742336487,0.0,3,2024-11-22 02:00:00
PMGD HP LA MONTAÑA II,La Montaña 2,Hidráulica,Pasada,Región del Maule,ernc,1.0,0.0,33.83486198076873,1.4883207393695945,3,2024-11-22 02:00:00
PFV SOL DEL DESIERTO,Sol del Desierto,Solar,(en blanco),Región de Antofagasta,ernc,1.0,0.0,898.2137028544727,0.0,3,2024-11-22 02:00:00
