plant_name,plant_key,generation_type,generation_subtype,region,energy_type,renewable_factor,25,total,mwh,hour,timestamp
PMGD PFV ARIZTIA,Ariztia,Solar,(en blanco),Región de Valparaíso,ernc,1.0,0.0,3.795129516306597,0.5279001327493494,14,2024-10-29 13:00:00
PMGD PFV EL ESTERO,Estero,Solar,(en blanco),Región de O'Higgins,ernc,1.0,0.0,17.172613882628006,1.8378408409538487,14,2024-10-29 13:00:00
GEO CERRO PABELLON,GEO Cerro Pabellón G2A,Geotérmica,(en blanco),Región de Antofagasta,ernc,1.0,0.0,147.33262160978617,5.583130924160317,14,2024-10-29 13:00:00
PMGD HP TRANCA DEL TORO,PMGD HP Tranca del Toro,Hidráulica,Pasada,Región de los Ríos,ernc,1.0,0.0,0.0,0.0,14,2024-10-29 13:00:00
PMGD PFV VILLA SECA,PMGD PFV VILLA SECA,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,24.93645085397514,2.4124317689011403,14,2024-10-29 13:00:00
TER GUACOLDA,Guacolda 1,Térmica,Carbón,Región de Atacama,convencional,0.0,0.0,2189.437799203736,31.487657738947163,14,2024-10-29 13:00:00
PMGD PFV FARAMALLA,PMGD PFV FARAMALLA,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,20.431616305246518,2.33011021368348,14,2024-10-29 13:00:00
PMGD PFV MOYA,Moya,Solar,(en blanco),Región del Bío-Bío,ernc,1.0,0.0,80.49919265095703,9.03421222762411,14,2024-10-29 13:00:00
TER QUINTAY,Quintay,Térmica,Diésel,Región de Valparaíso,convencional,0.0,0.0,0.0,0.0,14,2024-10-29 13:00:00
HP DIGUA,HP DIGUA,Hidráulica,Pasada,Región del Maule,ernc,1.0,0.0,298.89761666208096,12.00673317023724,14,2024-10-29 13:00:00
PMGD PFV CARANCA SOLAR [EN_REVISION],PMGD PFV CARANCA SOLAR,Solar,(en blanco),Región de Atacama,ernc,1.0,0.0,0.0,0.0,14,2024-10-29 13:00:00
PMGD PFV EL CHUCAO,PFV El Chucao,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,23.31589090272132,2.2944057430281006,14,2024-10-29 13:00:00
TER MEJILLONES,CTM3-TG Gas Arg,Térmica,Gas Natural,Región de Antofagasta,convencional,0.0,0.0,0.0,0.0,14,2024-10-29 13:00:00
TER ATACAMA,Atacama TG2B + 0.5TV2C Gas Arg,Térmica,Gas Natural,Región de Antofagasta,convencional,0.0,0.0,0.0,0.0,14,2024-10-29 13:00:00
PMGD PFV PACHIRA,Pachira,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,95.7149546625847,8.872188017523225,14,2024-10-29 13:00:00
HP BLANCO,BLANCO,Hidráulica,Pasada,Región de Valparaíso,convencional,0.0,0.0,1229.8897010713015,52.029177071028045,14,2024-10-29 13:00:00
PMGD PFV RUCAPAINE,PMGD PFV Rucapaine,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,66.99315045780907,8.299516042792016,14,2024-10-29 13:00:00
PMGD HP CHANLEUFU II,PMGD HP Chanleufu,Hidráulica,Pasada,Región de los Lagos,ernc,1.0,0.0,79.31171505406707,3.307326677032397,14,2024-10-29 13:00:00
PMGD TER EL NOGAL,El Nogal,Térmica,Diésel,Región Metropolitana,convencional,0.0,0.0,0.01778792026090222,0.003626982549668754,14,2024-10-29 13:00:00
TER UJINA,TER UJINA-UG2 (Diésel),Térmica,Diésel,Región de Tarapacá,convencional,0.0,0.0,0.0,0.0,14,2024-10-29 13:00:00
PMGD TER ERMITAÑO,Ermitaño,Térmica,Diésel,Región de Valparaíso,convencional,0.0,0.0,0.0,0.0,14,2024-10-29 13:00:00
PMGD PFV ROVIAN,Rovián,Solar,(en blanco),Región de O'Higgins,ernc,1.0,0.0,40.948464537597374,5.459481017011018,14,2024-10-29 13:00:00
BESS Andes Solar IIB,BESS Andes Solar IIB (retiro),Bess,(en blanco),Región de Antofagasta,ernc,1.0,0.0,625.0205007876748,66.96755425699821,14,2024-10-29 13:00:00
TER SAN JAVIER I,TER SAN JAVIER 1,Térmica,Diésel,Región del Maule,convencional,0.0,0.0,0.0,0.0,14,2024-10-29 13:00:00
