plant_name,plant_key,generation_type,generation_subtype,region,energy_type,renewable_factor,25,total,mwh,hour,timestamp
PMGD HP BUREO,Bureo,Hidráulica,Pasada,Región del Bío-Bío,ernc,1.0,0.0,7.157029582160378,0.0,9,2024-10-04 08:00:00
PFV TAMAYA SOLAR,TAMAYA SOLAR,Solar,(en blanco),Región de Antofagasta,ernc,1.0,0.0,346.3342182954932,48.08696634680015,9,2024-10-04 08:00:00
PFV LUZ DEL NORTE,Luz del Norte,Solar,(en blanco),Región de Atacama,ernc,1.0,0.0,873.1396417506274,83.53684603192559,9,2024-10-04 08:00:00
TER LOS GUINDOS,Los Guindos TG1 Diésel,Térmica,Diésel,Región del Bío-Bío,convencional,0.0,0.0,0.0,0.0,9,2024-10-04 08:00:00
TER LOS ESPINOS,Espinos,Térmica,Diésel,Región de Coquimbo,convencional,0.0,0.0,30.317001254849036,0.0,9,2024-10-04 08:00:00
TER SAN JAVIER II,TER SAN JAVIER 2,Térmica,Diésel,Región del Maule,convencional,0.0,0.0,0.0,0.0,9,2024-10-04 08:00:00
PMGD PFV SAN EMILIO SOLAR I,PMGD PFV San Emilio Solar 1,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,16.94031053739231,0.31863140743382484,9,2024-10-04 08:00:00
GEO CERRO PABELLON,GEO Cerro Pabellón G3A,Geotérmica,(en blanco),Región de Antofagasta,ernc,1.0,0.0,141.64943457587384,6.57368641070489,9,2024-10-04 08:00:00
PE CABO LEONES III,PE CABO LEONES III,Eólica,(en blanco),Región de Atacama,ernc,1.0,0.0,466.67170149419593,0.0,9,2024-10-04 08:00:00
TER PAJONALES,Pajonales,Térmica,Fuel Oil,Región de Atacama,convencional,0.0,0.0,0.0,0.0,9,2024-10-04 08:00:00
PMGD PFV VILLA ALEGRE,Villa Alegre,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,61.782500628064355,1.4015140181476888,9,2024-10-04 08:00:00
PMGD PFV GABARDO DEL VERANO SOLAR,PMGD PFV GABARDO,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,19.062067131836073,0.2971174927991194,9,2024-10-04 08:00:00
TER ATACAMA,Atacama TG2B + 0.5TV2C GNL,Térmica,Gas Natural,Región de Antofagasta,convencional,0.0,0.0,0.0,0.0,9,2024-10-04 08:00:00
PMGD HP BOQUIAMARGO,Boquiamargo,Hidráulica,Pasada,Región del Bío-Bío,ernc,1.0,0.0,0.0,0.0,9,2024-10-04 08:00:00
PMGD PFV LO BOZA,PMGD PFV LO BOZA,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,2.0220958317956685,0.0008463026920490619,9,2024-10-04 08:00:00
PFV PILAR LOS AMARILLOS,PMG PFV Pilar Los Amarillos,Solar,(en blanco),Región de Atacama,ernc,1.0,0.0,15.326263654855829,2.055770028107983,9,2024-10-04 08:00:00
TER PLANTA DE ACIDO SULFURICO MEJILLONES,TER PAM,Térmica,Cogeneracion,Región de Antofagasta,convencional,0.0,0.0,461.9490531139026,19.460913346759526,9,2024-10-04 08:00:00
TER KELAR,KELAR TG1 + 0.5 TV (Gas Arg),Térmica,Gas Natural,Región de Antofagasta,convencional,0.0,0.0,0.0,0.0,9,2024-10-04 08:00:00
PE SAN MATIAS,PE SAN MATIAS,Eólica,(en blanco),Región del Bío-Bío,ernc,1.0,0.0,102.93772571283394,1.7289695765141626,9,2024-10-04 08:00:00
PMGD PFV QUILLAY,Quillay,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,23.481904518812733,2.142352548201738,9,2024-10-04 08:00:00
PMGD PFV TRICAHUE II,Solar Tricahue 2,Solar,(en blanco),Región de O'Higgins,ernc,1.0,0.0,60.91250018642336,2.1078406102982927,9,2024-10-04 08:00:00
PFV CONEJO SOLAR,PFV CONEJO SOLAR,Solar,(en blanco),Región de Antofagasta,ernc,1.0,0.0,654.1268231145248,42.70394764214379,9,2024-10-04 08:00:00
PMGD PFV CORSO,PMGD PFV Corso,Solar,(en blanco),Región de Atacama,ernc,1.0,0.0,25.039592887060046,0.21465131377890903,9,2024-10-04 08:00:00
TER MEJILLONES,CTM3-TG + CTM3-TV Gas Arg,Térmica,Gas Natural,Región de Antofagasta,convencional,0.0,0.0,0.0,0.0,9,2024-10-04 08:00:00
PMGD PFV LONCURA,PMGD PFV Loncura,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,58.23621422901422,0.9575318099325595,9,2024-10-04 08:00:00
TER MEJILLONES,CTM2,Térmica,Carbón,Región de Antofagasta,convencional,0.0,0.0,0.0,0.0,9,2024-10-04 08:00:00
TER CHOLGUAN,CHOLGUAN,Térmica,Biomasa,Región de Ñuble,ernc,1.0,0.0,195.58968334316464,6.943894016787205,9,2024-10-04 08:00:00
PMGD PFV SAN CAMILO,PFV PMGD San Camilo,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,23.60910341357347,0.0026860946158367336,9,2024-10-04 08:00:00
PFV DIEGO DE ALMAGRO,PFV Diego de Almagro,Solar,(en blanco),Región de Atacama,ernc,1.0,0.0,170.05536413446012,5.242940151003595,9,2024-10-04 08:00:00
PFV DOÑA CARMEN SOLAR,PFV DOÑA CARMEN SOLAR,Solar,(en blanco),Región de Valparaíso,ernc,1.0,0.0,169.40499942107226,1.5908921450564344,9,2024-10-04 08:00:00
PMGD PFV ARICA,PMGD PFV Arica,Solar,(en blanco),Arica y Parinacota,ernc,1.0,0.0,59.22956969303818,3.4495391787666856,9,2024-10-04 08:00:00
