plant_name,plant_key,generation_type,generation_subtype,region,energy_type,renewable_factor,25,total,mwh,hour,timestamp
TER SANTA MARIA,Santa María,Térmica,Carbón,Región del Bío-Bío,convencional,0.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
TER ARICA,TER ARICA M1AR,Térmica,Diésel,Arica y Parinacota,convencional,0.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
PMGD TER TIRUA,PMGD TER Tirúa,Térmica,Diésel,Región del Bío-Bío,convencional,0.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
TER EL PEÑON,TER EL PEÑON,Térmica,Diésel,Región de Coquimbo,convencional,0.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
TER VALDIVIA,VALDIVIA,Térmica,Biomasa,Región de los Ríos,ernc,1.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
TER ANGAMOS,TER ANGAMOS-ANG1,Térmica,Carbón,Región de Antofagasta,convencional,0.0,0.0,4384.900590219647,80.69635079086376,15,2024-12-06 14:00:00
PMGD PFV CARACOLES,PMGD PFV CARACOLES,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,29.58339520634672,2.693943639834906,15,2024-12-06 14:00:00
TER ANDES GENERACION,Andes Generación Unidad 1 Diesel,Térmica,Diésel,Región de Atacama,convencional,0.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
TER ARICA,TER ARICA GMAR,Térmica,Diésel,Arica y Parinacota,convencional,0.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
HP RUCUE,RUCÚE,Hidráulica,Pasada,Región del Bío-Bío,convencional,0.0,0.0,1766.9908982199142,75.04208231398276,15,2024-12-06 14:00:00
TER ANDINA,TER ANDINA,Térmica,Carbón,Región de Antofagasta,convencional,0.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
TER VIÑALES,Viñales,Térmica,Biomasa,Región del Maule,ernc,1.0,0.0,410.2400555940809,3.9922387791038827,15,2024-12-06 14:00:00
TER UJINA,TER UJINA-UG5 (Diésel),Térmica,Diésel,Región de Tarapacá,convencional,0.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
BESS Angamos,BESS ANGAMOS CT1 (Inyección),Bess,Inyección,Región de Antofagasta,convencional,0.0,0.0,2.8156513600390434,0.1272465016578748,15,2024-12-06 14:00:00
TER SANTA FE,TER SANTA FE,Térmica,Biomasa,Región del Bío-Bío,ernc,1.0,0.0,587.8296447928649,26.114644645266,15,2024-12-06 14:00:00
PMGD HP RIO MULCHEN,Hidroeléctrica Rio Mulchen,Hidráulica,Pasada,Región del Bío-Bío,ernc,1.0,0.0,14.019845700651413,0.5738878053481853,15,2024-12-06 14:00:00
PMGD PFV CHUCHIÑI,Chuchiñi,Solar,(en blanco),Región de Coquimbo,ernc,1.0,0.0,18.752244797979774,2.240180082806957,15,2024-12-06 14:00:00
PMGD HP ARRAYAN,Arrayán,Hidráulica,Pasada,Región Metropolitana,ernc,1.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
TER LA PORTADA,TECNET_1_6,Térmica,Diésel,Región de Antofagasta,convencional,0.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
HE ANGOSTURA,ANGOSTURA U2,Hidráulica,Pasada,Región del Bío-Bío,convencional,0.0,0.0,1609.9028059093102,0.0,15,2024-12-06 14:00:00
HP PULELFU,Pulelfu,Hidráulica,Pasada,Región de los Lagos,ernc,1.0,0.0,200.514392057131,8.131577871943275,15,2024-12-06 14:00:00
HP SAN CLEMENTE,SAN CLEMENTE,Hidráulica,Pasada,Región del Maule,ernc,1.0,0.0,89.1499937890115,3.00168329255931,15,2024-12-06 14:00:00
PMGD HP BUREO,Bureo,Hidráulica,Pasada,Región del Bío-Bío,ernc,1.0,0.0,12.549235193776756,0.7493909181867764,15,2024-12-06 14:00:00
TER ANTILHUE,Antilhue TG1,Térmica,Diésel,Región de los Ríos,convencional,0.0,0.0,0.0,0.0,15,2024-12-06 14:00:00
PMGD PFV PAILLIHUE,PMGD PFV Paillihue,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,84.74842073235835,7.430805496102012,15,2024-12-06 14:00:00
PMGD HP CALIBORO,Caliboro,Hidráulica,Pasada,Región del Bío-Bío,ernc,1.0,0.0,24.4316365123419,1.016000648655504,15,2024-12-06 14:00:00
HP VOLCAN,HP VOLCÁN,Hidráulica,Pasada,Región Metropolitana,ernc,1.0,0.0,268.2464280006603,10.918122696135732,15,2024-12-06 14:00:00
